rank,hashtag,posts,views,country,day,timeScriptWasExecuted
8,# olafscholz,470.0,14.5,Germany,2023-01-29,18:07:33.185972
9,# pathaan,372.0,3.4,Germany,2023-01-29,18:07:33.185972
10,# lune,429.0,10.4,Germany,2023-01-29,18:07:33.185972
11,# soldierpoetking,434.0,6.5,Germany,2023-01-29,18:07:33.185972
12,# kobe,287.0,2.6,Germany,2023-01-29,18:07:33.185972
13,# baerbock,393.0,8.4,Germany,2023-01-29,18:07:33.185972
14,# keinkrieg,433.0,2.2,Germany,2023-01-29,18:07:33.185972
15,# pathan,446.0,2.6,Germany,2023-01-29,18:07:33.185972
1,# mascara,2000.0,38000000.0,United Kingdom,2023-01-29,18:07:50.689309
2,# soldierpoetking,1.2,11.7,United Kingdom,2023-01-29,18:07:50.689309
3,# test,1.2,11.9,United Kingdom,2023-01-29,18:07:50.689309
4,# winniethepooh,1.3,4.4,United Kingdom,2023-01-29,18:07:50.689309
5,# poet,1.1,7.3,United Kingdom,2023-01-29,18:07:50.689309
6,# soldier,880.0,13.1,United Kingdom,2023-01-29,18:07:50.689309
7,# niallhoran,1000.0,6.9,United Kingdom,2023-01-29,18:07:50.689309
8,# thursday,534.0,2.1,United Kingdom,2023-01-29,18:07:50.689309
9,# pathan,908.0,4.7,United Kingdom,2023-01-29,18:07:50.689309
10,# mascaratrend,626.0,9.5,United Kingdom,2023-01-29,18:07:50.689309
11,# kobe,397.0,3.3,United Kingdom,2023-01-29,18:07:50.689309
12,# mikaylanogueira,316.0,21.7,United Kingdom,2023-01-29,18:07:50.689309
13,# kobebryant,344.0,3.5,United Kingdom,2023-01-29,18:07:50.689309
14,# teenwolfmovie,674.0,6.4,United Kingdom,2023-01-29,18:07:50.689309
15,# hogwartslegacy,495.0,18.8,United Kingdom,2023-01-29,18:07:50.689309
1,# mascara,33.2000,346.7000000,Australia,2023-01-29,18:08:08.349566
2,# kobebryant,16.6000,161.8000000,Australia,2023-01-29,18:08:08.349566
3,# soldierpoetking,21.5000,209.3000000,Australia,2023-01-29,18:08:08.349566
4,# australiaday2023,1.3000,2.6000000,Australia,2023-01-29,18:08:08.349566
5,# changethedate,676,7.7000000,Australia,2023-01-29,18:08:08.349566
6,# kobebryant,985,3.1000000,Australia,2023-01-29,18:08:08.349566
7,# kobe,1.1000,2.9000000,Australia,2023-01-29,18:08:08.349566
8,# straya,987,10.8000000,Australia,2023-01-29,18:08:08.349566
9,# alwayswasalwayswillbe,558,4.4000000,Australia,2023-01-29,18:08:08.349566
10,# soldierpoetking,583,5000000,Australia,2023-01-29,18:08:08.349566
11,# ausday,239,2000000,Australia,2023-01-29,18:08:08.349566
12,# indigenous,374,8000000,Australia,2023-01-29,18:08:08.349566
13,# survivalday,249,2.7000000,Australia,2023-01-29,18:08:08.349566
14,# kehlani,446,3.5000000,Australia,2023-01-29,18:08:08.349566
15,# fireworks,431,1.2000000,Australia,2023-01-29,18:08:08.349566
